Team,NO.,Fint,FirstName,LastName,Name,Position,AGE,HT,WT,COLLEGE,2015-2016 SALARY
CHA,3,J,Jeremy,Lamb,Jeremy Lamb,SG,23,5-Jun,185,Connecticut,"$3,034,356 "
CHA,1,C,Courtney,Lee,Courtney Lee,SG,30,5-Jun,200,Western Kentucky,"$5,675,000 "
CHA,7,J,Jeremy,Lin,Jeremy Lin,PG,27,3-Jun,200,Harvard,"$2,139,000 "
CHA,15,K,Kemba,Walker,Kemba Walker,PG,25,1-Jun,184,Connecticut,"$12,000,000 "
CHA,2,M,Marvin,Williams,Marvin Williams,PF,29,9-Jun,237,North Carolina,"$7,000,000 "
CHA,40,C,Cody,Zeller,Cody Zeller,C,23,Jul-00,240,Indiana,"$4,204,200 "
CHI,41,C,Cameron,Bairstow,Cameron Bairstow,PF,25,9-Jun,250,New Mexico,"$845,059 "
CHI,0,A,Aaron,Brooks,Aaron Brooks,PG,31,Jun-00,161,Oregon,"$2,250,000 "
CHI,21,J,Jimmy,Butler,Jimmy Butler,SG,26,7-Jun,220,Marquette,"$16,407,500 "
CHI,34,M,Mike,Dunleavy,Mike Dunleavy,SG,35,9-Jun,230,Duke,"$4,500,000 "
CHI,6,C,Cristiano,Felicio,Cristiano Felicio,PF,23,10-Jun,275, ,"$525,093 "
CHI,16,P,Pau,Gasol,Pau Gasol,C,35,Jul-00,250, ,"$7,448,760 "
CHI,22,T,Taj,Gibson,Taj Gibson,PF,30,9-Jun,225,USC,"$8,500,000 "
CHI,7,J,Justin,Holiday,Justin Holiday,SG,26,6-Jun,185,Washington,"$947,276 "
CHI,3,D,Doug,McDermott,Doug McDermott,SF,24,8-Jun,225,Creighton,"$2,380,440 "
CHI,44,N,Nikola,Mirotic,Nikola Mirotic,PF,25,10-Jun,220, ,"$5,543,725 "
CHI,55,E,E'Twaun,Moore,E'Twaun Moore,SG,27,4-Jun,191,Purdue,"$1,015,421 "
CHI,13,J,Joakim,Noah,Joakim Noah,C,31,11-Jun,232,Florida,"$13,400,000 "
CHI,5,B,Bobby,Portis,Bobby Portis,PF,21,11-Jun,230,Arkansas,"$1,391,160 "
CHI,1,D,Derrick,Rose,Derrick Rose,PG,27,3-Jun,190,Memphis,"$20,093,064 "
CHI,20,T,Tony,Snell,Tony Snell,SF,24,7-Jun,200,New Mexico,"$1,535,880 "
CLE,8,M,Matthew,Dellavedova,Matthew Dellavedova,PG,25,4-Jun,198,Saint Mary's,"$1,147,276 "
CLE,9,C,Channing,Frye,Channing Frye,PF,32,11-Jun,255,Arizona,"$8,193,029 "
CLE,2,K,Kyrie,Irving,Kyrie Irving,PG,23,3-Jun,193,Duke,"$16,407,501 "
CLE,23,L,LeBron,James,LeBron James,SF,31,8-Jun,250, ,"$22,970,500 "
CLE,24,R,Richard,Jefferson,Richard Jefferson,SF,35,7-Jun,233,Arizona,"$947,276 "
CLE,1,J,James,Jones,James Jones,SG,35,8-Jun,218,Miami (FL),"$947,276 "
CLE,14,S,Sasha,Kaun,Sasha Kaun,C,30,11-Jun,260,Kansas,"$1,276,000 "
CLE,0,K,Kevin,Love,Kevin Love,PF,27,10-Jun,251,UCLA,"$19,689,000 "
CLE,20,T,Timofey,Mozgov,Timofey Mozgov,C,29,1-Jul,275, ,"$4,950,000 "
CLE,4,I,Iman,Shumpert,Iman Shumpert,SG,25,5-Jun,220,Georgia Tech,"$8,988,765 "
CLE,5,J,J.R.,Smith,J.R. Smith,SG,30,6-Jun,225, ,"$5,000,000 "
CLE,13,T,Tristan,Thompson,Tristan Thompson,C,24,9-Jun,238,Texas,"$14,260,870 "
CLE,52,M,Mo,Williams,Mo Williams,PG,33,1-Jun,198,Alabama,"$2,100,000 "
DAL,1,J,Justin,Anderson,Justin Anderson,SG,22,6-Jun,228,Virginia,"$1,449,000 "
DAL,5,J,J.J.,Barea,J.J. Barea,PG,31,Jun-00,185,Northeastern,"$4,290,000 "
DAL,21,J,Jeremy,Evans,Jeremy Evans,SF,28,9-Jun,200,Western Kentucky,"$1,100,602 "
DAL,2,R,Raymond,Felton,Raymond Felton,PG,31,1-Jun,205,North Carolina,"$3,950,313 "
DAL,34,D,Devin,Harris,Devin Harris,PG,33,3-Jun,185,Wisconsin,"$4,053,446 "
DAL,42,D,David,Lee,David Lee,PF,32,9-Jun,245,Florida,"$15,493,680 "
DAL,23,W,Wesley,Matthews,Wesley Matthews,SG,29,5-Jun,220,Marquette,"$16,407,500 "
DAL,11,J,JaVale,McGee,JaVale McGee,C,28,Jul-00,270,Nevada,"$1,270,964 "
DAL,50,S,Salah,Mejri,Salah Mejri,C,29,2-Jul,245, ,"$525,093 "
DAL,41,D,Dirk,Nowitzki,Dirk Nowitzki,PF,37,Jul-00,245, ,"$8,333,334 "
DAL,27,Z,Zaza,Pachulia,Zaza Pachulia,C,32,11-Jun,275, ,"$5,200,000 "
DAL,25,C,Chandler,Parsons,Chandler Parsons,SF,27,10-Jun,230,Florida,"$15,361,500 "
DAL,7,D,Dwight,Powell,Dwight Powell,PF,24,11-Jun,240,Stanford,"$845,059 "
