0,0.5016,0.546225,0.5729,0.5049,0.507225,0.5289,0.5144,0.511025,0.5064,0.5064,0.521025,0.5009,0.45,0.51,0.5144,0.415,0.5144,0.5081,0.250225,0.51,0.504225,0.5121,0.5729,0.5036,0.5625,0.31,0.32,0.5009,0.54
0.435,0,0.2549,0.495,0.385,0.2861,0.32,0.5016,0.495,0.45,0.44,0.5064,0.37,0.5289,0.5009,0.425,0.41,0.5256,0.5064,0.255625,0.35,0.5144,0.5225,0.46,0.44,0.5484,0.28,0.495,0.5001,0.5064
0.37,0.365,0,0.26,0.275,0.43,0.42,0.5036,0.5025,0.5004,0.36,0.4,0.5004,0.5064,0.39,0.42,0.49,0.43,0.3,0.505625,0.5961,0.511025,0.2564,0.42,0.51,0.5064,0.5004,0.5,0.43,0.2696
0.5081,0.485,0.35,0,0.250225,0.46,0.23,0.5784,0.48,0.45,0.4,0.2516,0.29,0.5001,0.48,0.502025,0.46,0.5625,0.5016,0.5009,0.43,0.435,0.5001,0.45,0.42,0.43,0.45,0.455,0.5324,0.405
0.49,0.5,0.253025,0.5,0,0.252025,0.47,0.5025,0.507225,0.4,0.5081,0.2516,0.4,0.54,0.4,0.38,0.5144,0.5049,0.5049,0.534225,0.5009,0.250025,0.5049,0.5025,0.5081,0.5324,0.5529,0.515625,0.3,0.495
0.2504,0.2621,0.521025,0.5576,0.509025,0,0.31,0.41,0.445,0.5121,0.38,0.505625,0.5121,0.5225,0.5196,0.5529,0.435,0.5441,0.5049,0.45,0.51,0.6024,0.5049,0.51,0.5025,0.5121,0.48,0.435,0.5196,0.524025
0.47,0.5025,0.4,0.5121,0.46,0.17,0,0.5064,0.37,0.4,0.2504,0.39,0.254225,0.5361,0.35,0.41,0.5529,0.51,0.5049,0.5049,0.502025,0.5025,0.7809,0.455,0.5169,0.5064,0.504225,0.5049,0.513225,0.5729
0.5169,0.49,0.22,0.32,0.5025,0.41,0.2509,0,0.51,0.5121,0.41,0.5009,0.44,0.2525,0.5841,0.54,0.5121,0.48,0.254225,0.5784,0.485,0.5009,0.36,0.253025,0.405,0.2509,0.41,0.36,0.47,0.48
0.251225,0.4,0.465,0.2756,0.515625,0.415,0.39,0.51,0,0.39,0.5169,0.2509,0.44,0.4,0.51,0.5081,0.435,0.39,0.39,0.485,0.48,0.48,0.253025,0.48,0.38,0.5361,0.33,0.47,0.49,0.5289
0.5361,0.5009,0.5064,0.5625,0.48,0.5324,0.521025,0.5625,0.5049,0,0.515625,0.5225,0.515625,0.5169,0.5016,0.5225,0.5081,0.5121,0.546225,0.5961,0.524025,0.5001,0.66,0.51,0.5121,0.550625,0.49,0.5441,0.5196,0.5961
