,NO.,FirstName,LastName,POS,AGE,HT,WT,COLLEGE,2015-2016 SALARY,Team
120,0,Andre,Drummond,C,22,11-Jun,279,Connecticut,"$3,272,091 ",DET
121,99,Justin,Harper,PF,26,10-Jun,225,Richmond, ,DET
122,34,Tobias,Harris,SF,23,9-Jun,235,Tennessee,"$16,000,000 ",DET
123,6,Darrun,Hilliard,SF,22,6-Jun,205,Villanova,"$600,000 ",DET
124,1,Reggie,Jackson,PG,25,3-Jun,208,Boston College,"$13,913,044 ",DET
125,3,Stanley,Johnson,SF,19,7-Jun,245,Arizona,"$2,841,960 ",DET
126,20,Jodie,Meeks,SG,28,4-Jun,210,Kentucky,"$6,270,000 ",DET
127,13,Marcus,Morris,PF,26,9-Jun,235,Kansas,"$5,000,000 ",DET
128,43,Anthony,Tolliver,PF,30,8-Jun,240,Creighton,"$3,000,000 ",DET
129,19,Leandro,Barbosa,SG,33,3-Jun,194, ,"$2,500,000 ",GSW
130,40,Harrison,Barnes,SF,23,8-Jun,225,North Carolina,"$3,873,398 ",GSW
131,12,Andrew,Bogut,C,31,Jul-00,260,Utah,"$13,800,000 ",GSW
132,21,Ian,Clark,SG,24,3-Jun,175,Belmont,"$947,276 ",GSW
133,30,Stephen,Curry,PG,27,3-Jun,190,Davidson,"$11,370,786 ",GSW
134,31,Festus,Ezeli,C,26,11-Jun,265,Vanderbilt,"$2,008,748 ",GSW
135,23,Draymond,Green,PF,25,7-Jun,230,Michigan State,"$14,260,870 ",GSW
136,9,Andre,Iguodala,SF,32,6-Jun,215,Arizona,"$11,710,456 ",GSW
137,34,Shaun,Livingston,PG,30,7-Jun,192, ,"$5,543,725 ",GSW
138,36,Kevon,Looney,SF,20,9-Jun,220,UCLA,"$1,131,960 ",GSW
139,20,James,McAdoo,SF,23,9-Jun,240,North Carolina,"$845,059 ",GSW
140,4,Brandon,Rush,SF,30,6-Jun,220,Kansas,"$1,270,964 ",GSW
141,5,Marreese,Speights,C,28,10-Jun,255,Florida,"$3,815,000 ",GSW
142,11,Klay,Thompson,SG,26,7-Jun,215,Washington State,"$15,501,000 ",GSW
143,18,Anderson,Varejao,PF,33,11-Jun,273, ,"$289,755 ",GSW
144,1,Trevor,Ariza,SF,30,8-Jun,215,UCLA,"$8,193,030 ",HOU
145,2,Patrick,Beverley,PG,27,1-Jun,185,Arkansas,"$6,486,486 ",HOU
146,33,Corey,Brewer,SG,29,9-Jun,186,Florida,"$8,229,375 ",HOU
147,15,Clint,Capela,PF,21,10-Jun,240, ,"$1,242,720 ",HOU
148,7,Sam,Dekker,SF,21,9-Jun,230,Wisconsin,"$1,646,400 ",HOU
149,13,James,Harden,SG,26,5-Jun,220,Arizona State,"$15,756,438 ",HOU
150,35,Montrezl,Harrell,PF,22,8-Jun,240,Louisville,"$1,000,000 ",HOU
151,12,Dwight,Howard,C,30,11-Jun,265, ,"$22,359,364 ",HOU
152,6,Terrence,Jones,PF,24,9-Jun,252,Kentucky,"$2,489,530 ",HOU
153,3,Ty,Lawson,PG,28,11-May,195,North Carolina,"$12,404,495 ",HOU
154,32,K.J.,McDaniels,SG,23,6-Jun,205,Clemson,"$3,189,794 ",HOU
155,20,Donatas,Motiejunas,PF,25,Jul-00,222, ,"$2,288,205 ",HOU
156,5,Josh,Smith,C,30,9-Jun,225, ,"$947,276 ",HOU
157,31,Jason,Terry,SG,38,2-Jun,185,Arizona,"$947,276 ",HOU
158,10,Marcus,Thornton,SF,28,4-Jun,205,LSU,"$947,276 ",HOU
159,5,Lavoy,Allen,PF,27,9-Jun,255,Temple,"$4,050,000 ",IND
160,10,Chase,Budinger,SF,27,7-Jun,209,Arizona,"$5,000,000 ",IND
161,25,Rakeem,Christmas,PF,24,9-Jun,250,Syracuse,"$1,007,026 ",IND
162,11,Monta,Ellis,SG,30,3-Jun,185, ,"$10,300,000 ",IND
163,13,Paul,George,SF,25,9-Jun,220,Fresno State,"$17,120,106 ",IND
164,3,George,Hill,PG,29,3-Jun,188,IUPUI,"$8,000,000 ",IND
165,27,Jordan,Hill,C,28,10-Jun,235,Arizona,"$4,000,000 ",IND
166,44,Solomon,Hill,SF,24,7-Jun,225,Arizona,"$1,358,880 ",IND
167,28,Ian,Mahinmi,C,29,11-Jun,250, ,"$4,000,000 ",IND
168,0,C.J.,Miles,SF,28,6-Jun,231, ,"$4,394,225 ",IND
169,40,Glenn,Robinson,SG,22,7-Jun,222,Michigan,"$1,100,000 ",IND
170,2,Rodney,Stuckey,PG,29,5-Jun,205,Eastern Washington,"$7,000,000 ",IND
171,33,Myles,Turner,PF,19,11-Jun,243,Texas,"$2,357,760 ",IND
172,42,Shayne,Whittington,PF,24,11-Jun,250,Western Michigan,"$845,059 ",IND
173,1,Joe,Young,PG,23,2-Jun,180,Oregon,"$1,007,026 ",IND
174,45,Cole,Aldrich,C,27,11-Jun,250,Kansas,"$1,100,602 ",LAC
175,19,Jeff,Ayres,PF,28,9-Jun,250,Arizona State,"$111,444 ",LAC
176,11,Jamal,Crawford,SG,35,5-Jun,195,Michigan,"$5,675,000 ",LAC
177,22,Branden,Dawson,SF,23,6-Jun,225,Michigan State,"$525,093 ",LAC
178,8,Jeff,Green,SF,29,9-Jun,235,Georgetown,"$9,450,000 ",LAC
179,32,Blake,Griffin,PF,26,10-Jun,251,Oklahoma,"$18,907,726 ",LAC
180,33,Wesley,Johnson,SF,28,7-Jun,215,Syracuse,"$1,100,602 ",LAC
181,6,DeAndre,Jordan,C,27,11-Jun,265,Texas A&M,"$19,689,000 ",LAC
182,12,Luc,Mbah a Moute,PF,29,8-Jun,230,UCLA,"$947,276 ",LAC
183,3,Chris,Paul,PG,30,Jun-00,175,Wake Forest,"$21,468,695 ",LAC
184,34,Paul,Pierce,SF,38,7-Jun,235,Kansas,"$3,376,000 ",LAC
185,9,Pablo,Prigioni,PG,38,3-Jun,185, ,"$947,726 ",LAC
186,4,J.J.,Redick,SG,31,4-Jun,190,Duke,"$7,085,000 ",LAC
187,25,Austin,Rivers,PG,23,4-Jun,200,Duke,"$3,110,796 ",LAC
188,35,Alex,Stepheson,PF,28,10-Jun,270,USC, ,LAC
189,30,C.J.,Wilcox,SG,25,5-Jun,195,Washington,"$1,159,680 ",LAC
190,2,Brandon,Bass,PF,30,8-Jun,250,LSU,"$3,000,000 ",LAL
191,28,Tarik,Black,C,24,9-Jun,250,Kansas,"$845,059 ",LAL
192,3,Anthony,Brown,SF,23,7-Jun,210,Stanford,"$700,000 ",LAL
193,24,Kobe,Bryant,SF,37,6-Jun,212, ,"$25,000,000 ",LAL
194,6,Jordan,Clarkson,PG,23,5-Jun,194,Missouri,"$845,059 ",LAL
195,17,Roy,Hibbert,C,29,2-Jul,270,Georgetown,"$15,592,217 ",LAL
196,9,Marcelo,Huertas,PG,32,3-Jun,200, ,"$525,093 ",LAL
197,4,Ryan,Kelly,PF,24,11-Jun,230,Duke,"$1,724,250 ",LAL
198,7,Larry,Nance Jr.,PF,23,9-Jun,230,Wyoming,"$1,155,600 ",LAL
199,30,Julius,Randle,PF,21,9-Jun,250,Kentucky,"$3,132,240 ",LAL
200,1,D'Angelo,Russell,PG,20,5-Jun,195,Ohio State,"$5,103,120 ",LAL
201,50,Robert,Sacre,C,26,Jul-00,270,Gonzaga,"$981,348 ",LAL
202,23,Louis,Williams,SG,29,1-Jun,175, ,"$7,000,000 ",LAL
203,37,Metta,World Peace,SF,36,7-Jun,260,St. John's,"$947,276 ",LAL
204,0,Nick,Young,SF,30,7-Jun,210,USC,"$5,219,169 ",LAL
205,3,Jordan,Adams,SG,21,5-Jun,209,UCLA,"$1,404,600 ",MEM
206,9,Tony,Allen,SG,34,4-Jun,213,Oklahoma State,"$5,158,539 ",MEM
207,7,Chris,Andersen,PF,37,10-Jun,245,Blinn College,"$5,000,000 ",MEM
208,22,Matt,Barnes,SF,35,7-Jun,226,UCLA,"$3,542,500 ",MEM
209,15,Vince,Carter,SG,39,6-Jun,220,North Carolina,"$4,088,019 ",MEM
210,6,Mario,Chalmers,PG,29,2-Jun,190,Kansas,"$4,300,000 ",MEM
211,11,Mike,Conley,PG,28,1-Jun,175,Ohio State,"$9,588,426 ",MEM
212,8,James,Ennis,SF,25,7-Jun,210,Long Beach State,"$845,059 ",MEM
213,33,Marc,Gasol,C,31,1-Jul,255, ,"$19,688,000 ",MEM
214,0,JaMychal,Green,PF,25,9-Jun,227,Alabama,"$845,059 ",MEM
215,19,P.J.,Hairston,SF,23,6-Jun,230,North Carolina,"$1,201,440 ",MEM
216,10,Jarell,Martin,PF,21,10-Jun,239,LSU,"$1,230,840 ",MEM
217,50,Zach,Randolph,PF,34,9-Jun,260,Michigan State,"$9,638,555 ",MEM
218,1,Lance,Stephenson,SF,25,5-Jun,230,Cincinnati,"$9,000,000 ",MEM
219,34,Brandan,Wright,PF,28,10-Jun,210,North Carolina,"$5,464,000 ",MEM
220,1,Chris,Bosh,PF,31,11-Jun,235,Georgia Tech,"$22,192,730 ",MIA
221,9,Luol,Deng,SF,30,9-Jun,220,Duke,"$10,151,612 ",MIA
222,7,Goran,Dragic,PG,29,3-Jun,190, ,"$14,783,000 ",MIA
223,14,Gerald,Green,SF,30,7-Jun,205, ,"$947,276 ",MIA
224,40,Udonis,Haslem,PF,35,8-Jun,235,Florida,"$2,854,940 ",MIA
225,--,Joe,Johnson,SF,34,7-Jun,240,Arkansas,"$24,894,863 ",MIA
226,8,Tyler,Johnson,SG,23,4-Jun,186,Fresno State,"$845,059 ",MIA
227,4,Josh,McRoberts,PF,28,10-Jun,240,Duke,"$5,543,725 ",MIA
228,0,Josh,Richardson,SG,22,6-Jun,200,Tennessee,"$525,093 ",MIA
229,5,Amar'e,Stoudemire,PF,33,10-Jun,245, ,"$947,276 ",MIA
230,19,Beno,Udrih,PG,33,3-Jun,205, ,"$2,170,465 ",MIA
231,3,Dwyane,Wade,SG,34,4-Jun,220,Marquette,"$20,000,000 ",MIA
232,21,Hassan,Whiteside,C,26,Jul-00,265,Marshall,"$981,348 ",MIA
233,20,Justise,Winslow,SF,19,7-Jun,225,Duke,"$2,481,720 ",MIA
234,34,Giannis,Antetokounmpo,SF,21,11-Jun,222, ,"$1,953,960 ",MIL
235,19,Jerryd,Bayless,PG,27,3-Jun,200,Arizona,"$3,000,000 ",MIL
236,5,Michael,Carter-Williams,PG,24,6-Jun,190,Syracuse,"$2,399,040 ",MIL
