Away,Home
OKC,LAC
ORL,NO
IND,SAS
PHO,UTH
SAC,WAS
LAL,DEN
DET,MIA
MEM,PHI
DAL,TOR
DET,ATL
DAL,BKN
BOS,CHA
NO,CLE
UTH,GSW
SAC,IND
OKC,LAL
PHI,MIL
SAS,MIN
POR,NYK
HOU,ORL
DEN,PHO
MEM,WAS
CLE,GSW
SAS,HOU
LAC,LAL
NYK,MIA
CHI,OKC
NO,ATL
WAS,BKN
MEM,CHA
CHI,DAL
BOS,DET
TOR,MIL
IND,MIN
HOU,NYK
MIA,ORL
PHI,PHO
CLE,POR
DEN,SAS
LAC,UTH
NO,BOS
LAL,MEM
DEN,OKC
POR,SAC
TOR,CHI
LAL,CHA
MIL,DAL
SAC,GSW
ATL,IND
BKN,MIA
NYK,ORL
CLE,PHO
MIN,SAS
PHI,UTH
LAC,WAS
CLE,DEN
ATL,HOU
MIA,MEM
DET,NO
MIL,OKC
LAL,BOS
IND,CHI
LAC,CHA
GSW,DAL
UTH,MIN
BKN,ORL
DEN,POR
PHI,SAC
PHO,SAS
WAS,TOR
MIN,DET
GSW,HOU
MIL,IND
LAC,NYK
PHO,OKC
POR,UTH
NO,CHI
PHI,LAL
DAL,MIA
CHA,TOR
ORL,WAS
BKN,BOS
OKC,CHA
ORL,CLE
NYK,DAL
DEN,GSW
DET,IND
PHI,LAC
MIL,MIN
PHO,SAC
HOU,SAS
MEM,UTH
POR,DEN
PHO,LAL
ATL,NO
CHI,TOR
MIA,WAS
BOS,BKN
TOR,CLE
ORL,DET
CHA,GSW
IND,MIA
SAS,MIL
SAC,OKC
MIN,PHI
MEM,POR
HOU,UTH
NO,ATL
MIL,CHI
SAC,DAL
GSW,LAL
DET,BOS
TOR,BKN
NO,MIA
DEN,MIN
DAL,NYK
MEM,OKC
IND,ORL
CHA,PHO
LAC,POR
UTH,SAS
CLE,WAS
BOS,CHI
UTH,HOU
ATL,PHI
LAL,SAC
ORL,BKN
OKC,LAL
DEN,MEM
DAL,MIL
CLE,MIN
IND,NYK
MIA,PHO
GSW,POR
NO,SAS
TOR,WAS
CHI,ATL
BKN,DET
CHA,LAC
WAS,ORL
TOR,PHI
GSW,SAC
MIA,UTH
CHA,DEN
IND,HOU
NYK,LAC
UTH,LAL
BOS,MEM
DAL,MIN
MIL,NO
CLE,PHI
OKC,POR
SAS,BKN
WAS,CHI
MIA,GSW
CLE,DAL
SAS,DET
PHO,IND
NYK,LAL
HOU,MEM
CHI,MIL
OKC,MIN
BOS,NO
IND,BOS
NO,BKN
ATL,CHA
GSW,DEN
MIN,HOU
MIA,LAC
DAL,OKC
UTH,POR
NYK,SAC
MIL,WAS
LAL,GSW
DET,MEM
TOR,ORL
CHI,PHI
CLE,SAS
SAC,UTH
PHO,BOS
POR,BKN
DAL,CHI
MIA,DEN
CLE,HOU
WAS,IND
ATL,MIL
CHA,NYK
MIN,OKC
BKN,ATL
MIL,CHA
GSW,DET
SAC,LAC
NO,MEM
POR,PHI
LAL,UTH
BOS,WAS
IND,DEN
HOU,LAL
PHO,MIN
MIA,OKC
DAL,SAS
ORL,ATL
UTH,CHA
GSW,CLE
BOS,DAL
CHI,DET
HOU,LAC
NYK,MEM
PHI,NO
BKN,TOR
POR,WAS
OKC,DEN
MIL,MIA
MIN,NYK
IND,PHO
CLE,BKN
GSW,CHI
MIN,DAL
DET,HOU
